text,label,lang,source
I love this product! It exceeded all my expectations.,positive,en,manual
The customer service team was incredibly helpful and responsive.,positive,en,manual
This is the best purchase I have made all year.,positive,en,manual
Absolutely fantastic experience from start to finish.,positive,en,manual
The quality is outstanding and delivery was lightning fast.,positive,en,manual
I would highly recommend this to anyone looking for value.,positive,en,manual
Five stars — nothing to complain about whatsoever.,positive,en,manual
The food was great and the ambiance was pleasant.,positive,en,manual
Expensive but worth every penny for the high-quality ingredients.,mixed,en,manual
Loved the cozy atmosphere but the drinks are seriously overpriced.,mixed,en,manual
Great location though the room was a bit noisy and smaller than expected.,mixed,en,manual
The steak was perfectly cooked but the waiter was extremely rude.,mixed,en,manual
Overall a decent experience — nothing special but staff was friendly.,neutral,en,manual
The product does exactly what it says on the tin. Nothing more.,neutral,en,manual
It is fine. Not amazing not terrible just average.,neutral,en,manual
The package arrived on time and was in acceptable condition.,neutral,en,manual
I would never go back there again. Terrible management and poor hygiene.,negative,en,manual
The worst customer service I have ever experienced in my life.,negative,en,manual
Completely broken on arrival. Total waste of money.,negative,en,manual
The restaurant was way too dark and the music was unbearably loud.,negative,en,manual
This product stopped working after just two days. Very disappointed.,negative,en,manual
Thanks for the cold soup and the 1-hour wait — what a wonderful evening!,irony,en,manual
Oh yes because I really enjoy waiting 3 hours to be ignored.,irony,en,manual
Incredible how they manage to make everything go wrong every single time.,irony,en,manual
Dịch vụ này rất tuyệt vời và đáng tiền.,positive,vi,manual
Sản phẩm chất lượng cao giao hàng nhanh rất hài lòng.,positive,vi,manual
Nhân viên nhiệt tình chu đáo tôi rất hài lòng.,positive,vi,manual
Thức ăn ngon phục vụ nhiệt tình nhất định sẽ quay lại.,positive,vi,manual
Sản phẩm tốt đáng mua giá hợp lý.,positive,vi,manual
Dịch vụ bình thường không có gì đặc biệt.,neutral,vi,manual
Sản phẩm dùng được nhưng không nổi bật so với các loại khác.,neutral,vi,manual
Giao hàng đúng hẹn sản phẩm đúng mô tả.,neutral,vi,manual
Chất lượng kém hàng bị hỏng ngay ngày đầu tiên.,negative,vi,manual
Dịch vụ tệ nhân viên thô lỗ không bao giờ quay lại.,negative,vi,manual
Chờ đợi quá lâu mà đồ ăn lại nguội và không ngon.,negative,vi,manual
Dịch vụ siêu tốt chờ 2 tiếng mới được phục vụ.,irony,vi,manual
Ừ thì đúng là tuyệt vời lắm ai mà chả thích bị lừa.,irony,vi,manual
Chất lượng hoàn hảo chỉ bị hỏng ngay ngày đầu tiên thôi.,irony,vi,manual
Me encanta este producto es absolutamente fantástico.,positive,es,manual
El servicio fue terrible y la comida estaba fría.,negative,es,manual
Je déteste ce service c'est une véritable catastrophe.,negative,fr,manual
Le restaurant était magnifique et la nourriture délicieuse.,positive,fr,manual
Das Essen war ausgezeichnet und der Service war sehr freundlich.,positive,de,manual
Der Service war schrecklich und das Essen war kalt.,negative,de,manual
この製品は素晴らしいです。とても満足しています。,positive,ja,manual
このサービスはひどかったです。二度と使いません。,negative,ja,manual
这家店的服务很棒食物也很新鲜值得推荐。,positive,zh,manual
这个产品质量太差了完全是浪费钱。,negative,zh,manual
The battery life is good but the display is disappointingly dim.,mixed,en,manual
Setup was straightforward and performance has been solid so far.,positive,en,manual
