text,lang
"The pizza was absolutely amazing, best I've ever had!",en
"Service was incredibly slow and the waiter was rude.",en
"The ambiance is nice but the food is just average.",en
"Prices are a bit high for what you get.",en
"Great location, right in the heart of the city.",en
"I loved the pasta but the tiramisu was disappointing.",en
"The staff went above and beyond to make our anniversary special.",en
"Food arrived cold and looked nothing like the menu photo.",en
"Decent place for a quick lunch, nothing spectacular.",en
"Best sushi in town, will definitely come back!",en
"The music was too loud and we couldn't hold a conversation.",en
"Very cozy atmosphere, perfect for a date night.",en
"The burger was overcooked and the fries were soggy.",en
"Exceptional value for money, huge portions at fair prices.",en
"Waited 45 minutes for our appetizers. Unacceptable.",en
"The chef personally came to our table to check on us — lovely touch.",en
"Drinks were watered down and overpriced.",en
"Fresh ingredients, authentic flavors, outstanding experience.",en
"The restrooms were dirty and the tables were sticky.",en
"Vegetarian options are plentiful and delicious.",en
"I asked for medium-rare steak and got well-done. Never again.",en
"Great service but the food was just okay.",en
"The dessert menu is to die for — try the molten lava cake!",en
"Noisy environment but the food makes up for it.",en
"Surprisingly good for the price. Highly recommend the fish tacos.",en
